,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId
613,GRANDMASTER,i-OpYH2-frUDc_d4NTG4BdLB0yae1oMtkOQbgQsheqLFJek,berserker3,352,144,83,False,False,False,False,YNovqG2UHRWp1RvcIxvFilTpkAf5V7VV0Mf7tWCdpY8NbQ
614,GRANDMASTER,oM8ebSZY4W4LwdyS1dVQEDdAX5yL_8T21ILcAXzXopE_D631dtKKlp0EMQ,Swordart77777,555,247,211,False,False,False,False,SSll-Rty9YQObpLJLyPADU_5CIZ5UbbufXFFmaZIL1ZkUQOjzEhznM4v
615,GRANDMASTER,CL6uBhrdgTK5Q7XCMv_L9DozbGdvrP1RBrFYu_KHav_m30g,kr4zykilla,451,386,311,False,False,False,False,wore5Zu4tbBrP5HsqAo0rgY3CatVc_2YvNm_QK6ke0UytQ
616,GRANDMASTER,esGzi6eoy-Yfu0RsCNn93C-wJd2gKK9PQKpHEb6Kj1b-3rI,Raneki,438,210,183,False,False,False,False,fn0ZyL2ubtL_u2-VP_1H9qYlwhTIBBjl5vowMzyWoaYIwsU
617,GRANDMASTER,ZNzULaYcYQmPxSxbrAykcFYpsAwEUPMD8ZQwWUJHilOV0uA,EleJiggle,325,138,128,False,False,False,False,TbnMH-swddcMpBRLiO2lGla0GyLpQVEznsQaZwbNdQd7FA
618,GRANDMASTER,q8-tdHAu24Gpw6UQk3b93D_PefZwdkYoPoudB6SLa3xl_yY,A Little Yue,317,172,161,False,False,True,True,3q8QHjDCTwjoj_LWDhQZ-GskF592crTsFniCTQq72j17c9Y
619,GRANDMASTER,Ntk2EkpsHlFKKnRzEEhA-pNu9YC1HQV3yL1jNaGDyLcKRxGkbarOKJl1SA, bohe tang,319,145,99,False,False,True,True,6srHnGRt2eRjhDj28fw7zACVspax_ZnnQj-ZcLc0CS7olnLnzVRXN8Z4
620,GRANDMASTER,ultYpt2lyPyj0IY7Xg1OpOjQQYY9mMh1Q6gf6-Wl1m38Irc,asianknight,374,161,133,True,False,False,False,k0AKd3IzcpoGIsLFy9znq8RW_-AAXaPTGJTBx3RPVeueAg
621,GRANDMASTER,oQtrtvkS9K4jwIDURK2VH6lkrmApC3cw85yIfSRH-yl4GS8,FSU Pain,285,159,141,False,False,True,False,rgHXCckimGBEGiB8YlrJcmLJ1TInuNBKdTdzqTplOrI2BFA
622,GRANDMASTER,8yYz9JAL6qaoi6AvRE4R1kJz3MoTJupA18t1NrYDtbHMB-c,Tears of Winter,484,47,26,False,False,False,False,-qcJuXE8bH0EEiN2439uiHe_tqsdE1qFLUOg7rQjoLp27HI
623,GRANDMASTER,gXaAr9hpuj4Q7iTC2Wl9HFy1jPhpeSyRg6-LzcnOCkgCPAU,Fated Enigma,437,257,246,False,False,False,False,6ZawuiGIFcdmrqklvs6ss93A0Bt-kqkmwbimTPIZ_cjBSUk
624,GRANDMASTER,-RCYuMvEcaMAVyto90AzIGJcAmNEoFxldGx4lXdnmO2yl1F--rgOOt57Aw,Laserholic,299,123,113,False,False,False,False,EQeU_Wo_HurGVBzQMqrYiIiPNJSAIQ2KEED5SoFJ1Boy01mCt0uhPbYu
625,GRANDMASTER,DYAu6WBmHKxunLIgE3GdUBGGLYCl4cCxhDGBmBuWFtKbmiVx,QuinnAD Daddy,303,77,50,False,False,True,True,w3m69b-PA1oBhYXLwESWp2jQljT-z2MCrteLrCFUnIs-htGebfRvl1H1
626,GRANDMASTER,4hl0z5bMd8405waWa3bfLx7rV-NHQYmq8VAHTGlFjBWngIY,Value,376,142,137,False,False,False,False,8cEGYnvN-kZNc35w4tMXwE_pCHhDVrO7wRIJ1E0tufTWEA
627,GRANDMASTER,HVOgY6K0HB7lB5Jy4aPc1xfLkWN1Z4oKYwKx73bqHIDWQaw,caffeinexantram,472,321,308,False,False,False,True,fTQwGa0ILGSzECRj1h76IpFE5DS5ILAK7o6j9ymLadutV0M
628,GRANDMASTER,UDCHoFsz4F_BYczJaU2HnUqQD2r1cNbDpwzbtYA9Aawc7uNI,FalseMemory,304,62,50,False,False,True,False,rz_RCT-TQ0NM3qLeXKtYx-Qp0MAzqgjyvLlQF7545sY3YhWuqd5GFcPq
629,GRANDMASTER,cCVtOqFjqq-7kd447cztw7sqYF_EObHDLwoy1Xi3vqnKj6Ijnv2kie3vYw,Tsuyosa,328,93,82,False,False,False,False,b38Ex7UkwKDFRV-2SoqAb79JZFbxKHpqOcTcqncTERXpmWO_-CWJbkCU
630,GRANDMASTER,vVS296Wbs0F1mxbNUlAm1RaJnnPsZZ-oLHrQL00XMOMLho8,Ran Desu,348,564,541,True,False,False,False,HuFOv_KpcwwbQZsNiFcy9IB9vNhCQusziKIkyDnAbI-9ew
